FIPS,Primary County Coordinates,County,City,Year,Estimate
1900370,"(41.3307464, -94.4709413)",Adair,Adair (pt.),April 01 2010,762
1908425,"(41.3307464, -94.4709413)",Adair,Bridgewater,April 01 2010,182
1911395,"(41.3307464, -94.4709413)",Adair,Casey (pt.),April 01 2010,10
1928290,"(41.3307464, -94.4709413)",Adair,Fontanelle,April 01 2010,672
1932790,"(41.3307464, -94.4709413)",Adair,Greenfield,April 01 2010,1982
1959565,"(41.3307464, -94.4709413)",Adair,Orient,April 01 2010,408
1975990,"(41.3307464, -94.4709413)",Adair,Stuart (pt.),April 01 2010,699
1999990,"(41.3307464, -94.4709413)",Adair,Balance of Adair County,April 01 2010,2967
1910585,"(41.0289839, -94.6991849)",Adams,Carbon,April 01 2010,34
1916500,"(41.0289839, -94.6991849)",Adams,Corning,April 01 2010,1635
1944490,"(41.0289839, -94.6991849)",Adams,Lenox (pt.),April 01 2010,0
1956865,"(41.0289839, -94.6991849)",Adams,Nodaway,April 01 2010,114
1964560,"(41.0289839, -94.6991849)",Adams,Prescott,April 01 2010,257
1999990,"(41.0289839, -94.6991849)",Adams,Balance of Adams County,April 01 2010,1989
1934590,"(43.2842838, -91.3780923)",Allamakee,Harpers Ferry,April 01 2010,328
1943275,"(43.2842838, -91.3780923)",Allamakee,Lansing,April 01 2010,999
1955785,"(43.2842838, -91.3780923)",Allamakee,New Albin,April 01 2010,522
1964290,"(43.2842838, -91.3780923)",Allamakee,Postville (pt.),April 01 2010,1947
1982470,"(43.2842838, -91.3780923)",Allamakee,Waterville,April 01 2010,144
1982740,"(43.2842838, -91.3780923)",Allamakee,Waukon,April 01 2010,3897
1999990,"(43.2842838, -91.3780923)",Allamakee,Balance of Allamakee County,April 01 2010,6493
1912315,"(40.7431635, -92.8686104)",Appanoose,Centerville,April 01 2010,5528
1913395,"(40.7431635, -92.8686104)",Appanoose,Cincinnati,April 01 2010,357
1926310,"(40.7431635, -92.8686104)",Appanoose,Exline,April 01 2010,160
1953985,"(40.7431635, -92.8686104)",Appanoose,Moravia (pt.),April 01 2010,663
1954390,"(40.7431635, -92.8686104)",Appanoose,Moulton,April 01 2010,605
1955200,"(40.7431635, -92.8686104)",Appanoose,Mystic,April 01 2010,425
1957945,"(40.7431635, -92.8686104)",Appanoose,Numa,April 01 2010,92
1963345,"(40.7431635, -92.8686104)",Appanoose,Plano,April 01 2010,70
